Customer,State,Customer_Lifetime_Value,Response,Coverage,Education,EmploymentStatus,Gender,Income,Location_Code,Marital_Status,Monthly_Premium_Auto,Number_of_Policies,Policy,Renew_Offer_Type,Sales_Channel,Total_Claim_Amount,Vehicle_Class,Vehicle_Size
22,YH23384,Arizona,24127.50402,Yes,Basic,Bachelor,Medical Leave,M,14072,Suburban,Divorced,71,2,Personal L3,Offer1,Agent,511.2,Four-Door Car,Medsize
23,TZ98966,Nevada,2450.1909960000007,No,Basic,Bachelor,Unemployed,F,0,Suburban,Single,73,1,Corporate L3,Offer1,Branch,554.376763,Four-Door Car,Medsize
24,HM55802,California,2392.10789,No,Basic,Bachelor,Disabled,F,17870,Suburban,Married,61,1,Corporate L2,Offer2,Branch,439.2,Four-Door Car,Medsize
25,FS42516,Oregon,5802.065978000001,No,Basic,College,Employed,M,97541,Suburban,Married,72,3,Personal L3,Offer2,Call Center,389.185006,Four-Door Car,Large
26,US89481,California,3946.372085,No,Premium,Bachelor,Unemployed,F,0,Suburban,Single,111,1,Personal L3,Offer1,Agent,799.2,Four-Door Car,Small
27,HO30839,Washington,5346.916576,No,Extended,Master,Disabled,F,10511,Urban,Married,139,1,Corporate L1,Offer1,Branch,516.237951,SUV,Medsize
28,GE62437,Arizona,12902.56014,No,Premium,College,Employed,F,86584,Suburban,Single,111,2,Personal L3,Offer1,Call Center,532.8,Four-Door Car,Large
29,EJ77678,Oregon,3235.360468,No,Extended,Master,Employed,F,75690,Suburban,Married,80,1,Personal L3,Offer2,Branch,384.0,Four-Door Car,Small
30,SV85652,Arizona,2454.58354,No,Basic,College,Employed,M,23158,Suburban,Married,63,1,Personal L2,Offer4,Call Center,322.2940430000001,Four-Door Car,Small
31,UL64533,Nevada,18975.45611,No,Extended,High School or Below,Employed,M,65999,Urban,Married,237,6,Corporate L2,Offer2,Agent,615.927769,Luxury SUV,Medsize
32,PF41800,California,4715.321344,No,Basic,Bachelor,Unemployed,M,0,Urban,Married,65,3,Personal L3,Offer1,Call Center,308.15089,Four-Door Car,Medsize
33,AO98601,Washington,5018.885233,No,Basic,Bachelor,Employed,M,54500,Suburban,Married,63,6,Corporate L2,Offer1,Agent,302.4,Two-Door Car,Small
34,SK67821,Oregon,4932.9163450000015,No,Basic,Bachelor,Employed,F,37260,Rural,Married,62,8,Corporate L1,Offer3,Web,15.437681,Four-Door Car,Medsize
35,YV55495,Arizona,5744.2297450000015,No,Basic,High School or Below,Employed,F,68987,Urban,Married,71,6,Personal L1,Offer1,Branch,204.475147,Four-Door Car,Medsize
36,KY38074,California,13891.735669999998,No,Premium,Bachelor,Employed,M,42305,Suburban,Married,117,2,Personal L3,Offer1,Agent,561.6,Four-Door Car,Small
37,DM79012,Oregon,7380.976717,No,Extended,Master,Employed,F,65706,Suburban,Married,91,8,Personal L3,Offer2,Web,436.8,Four-Door Car,Small
38,CM61827,Oregon,3090.034104,No,Extended,Bachelor,Unemployed,M,0,Suburban,Single,90,1,Personal L2,Offer3,Agent,648.0,Two-Door Car,Small
39,WC35801,Arizona,2521.633095,No,Basic,High School or Below,Employed,M,53243,Rural,Divorced,66,1,Personal L3,Offer1,Call Center,157.397849,Four-Door Car,Medsize
40,QG25316,Nevada,2652.061785000001,No,Basic,High School or Below,Unemployed,F,0,Suburban,Married,70,1,Corporate L3,Offer3,Call Center,484.31853600000005,Two-Door Car,Medsize
41,MB98372,Oregon,2771.045031,Yes,Basic,College,Employed,F,50071,Rural,Single,71,1,Corporate L3,Offer2,Agent,18.918935,Two-Door Car,Medsize
42,IL19217,California,3939.0063700000014,Yes,Extended,Bachelor,Employed,F,60021,Suburban,Married,99,1,Personal L2,Offer2,Agent,882.8719449999999,Four-Door Car,Small
43,SR38658,Arizona,12231.87968,No,Basic,High School or Below,Employed,M,43244,Suburban,Married,103,2,Personal L2,Offer4,Agent,494.4,Sports Car,Medsize
44,DH41343,Washington,2443.665166,No,Basic,College,Employed,M,92834,Suburban,Married,61,1,Special L2,Offer2,Call Center,292.8,Four-Door Car,Large
45,BU27331,Arizona,4468.510542,No,Basic,Bachelor,Unemployed,M,0,Suburban,Single,73,5,Personal L3,Offer3,Call Center,579.165954,Four-Door Car,Medsize
46,XM45289,Oregon,5514.344018,No,Basic,High School or Below,Employed,F,23218,Suburban,Single,71,4,Personal L2,Offer4,Agent,447.79344,Two-Door Car,Medsize
47,KP34198,California,3343.8753260000008,No,Extended,Bachelor,Unemployed,F,0,Suburban,Married,92,1,Corporate L2,Offer2,Call Center,529.624084,Four-Door Car,Medsize
48,SH90947,Arizona,2294.478927,No,Basic,High School or Below,Unemployed,F,0,Suburban,Married,62,1,Personal L2,Offer4,Branch,313.023175,Four-Door Car,Medsize
49,WE95729,Oregon,36707.42639,No,Basic,College,Employed,M,24804,Suburban,Married,104,2,Personal L2,Offer1,Agent,593.830288,SUV,Small
50,PY51963,California,33473.349460000005,Yes,Basic,Bachelor,Employed,F,33190,Suburban,Divorced,106,2,Corporate L1,Offer1,Web,508.8,SUV,Medsize
51,RB69909,Nevada,7983.431709,No,Basic,High School or Below,Employed,F,36014,Rural,Married,69,2,Special L1,Offer4,Branch,173.956072,Four-Door Car,Medsize
52,XR95069,Washington,4854.745666,No,Basic,Bachelor,Employed,M,29834,Suburban,Single,64,3,Personal L3,Offer4,Agent,307.2,Four-Door Car,Medsize
53,FR46645,California,4293.997319,No,Premium,Bachelor,Disabled,M,16701,Suburban,Married,113,1,Personal L2,Offer1,Branch,831.625979,Four-Door Car,Small
54,SY17488,Arizona,7164.395543000001,No,Extended,College,Employed,F,46623,Suburban,Divorced,91,3,Corporate L3,Offer3,Call Center,436.8,Four-Door Car,Small
55,AP67935,California,7619.5158,No,Basic,College,Employed,M,64749,Urban,Married,64,2,Special L2,Offer2,Branch,302.56519,Four-Door Car,Medsize
56,FS37417,Arizona,3958.002823,No,Basic,High School or Below,Unemployed,F,0,Suburban,Married,101,1,Personal L2,Offer1,Call Center,484.8,SUV,Small
57,ML29312,Oregon,4499.493252,No,Extended,High School or Below,Disabled,F,16969,Suburban,Divorced,124,1,Personal L3,Offer1,Call Center,704.7681110000002,SUV,Medsize
58,UB61619,Oregon,4059.567414,No,Premium,Master,Disabled,F,11621,Suburban,Divorced,108,1,Personal L1,Offer1,Agent,518.4,Four-Door Car,Medsize
59,CD86811,Arizona,4458.113369,Yes,Basic,Bachelor,Retired,M,17622,Suburban,Divorced,65,3,Personal L1,Offer1,Agent,312.0,Four-Door Car,Medsize
60,RU83859,California,8110.333139,No,Premium,Bachelor,Medical Leave,F,11489,Suburban,Married,105,6,Personal L3,Offer1,Call Center,504.0,Two-Door Car,Small
61,FG63582,Oregon,3339.764873,No,Extended,Bachelor,Unemployed,M,0,Suburban,Single,94,1,Personal L3,Offer1,Agent,863.327324,Two-Door Car,Small
62,NN71951,California,24261.01777,No,Basic,High School or Below,Employed,F,66525,Rural,Married,100,2,Personal L3,Offer1,Agent,104.331355,SUV,Medsize
63,WB37082,Arizona,6613.973653,No,Basic,Bachelor,Unemployed,F,0,Suburban,Single,63,2,Personal L3,Offer3,Branch,676.391482,Four-Door Car,Large
64,SM52139,Washington,2930.693543,No,Basic,College,Employed,M,33663,Suburban,Married,73,1,Personal L3,Offer3,Web,350.4,Four-Door Car,Medsize
65,FL82372,Oregon,8672.194272,No,Basic,College,Employed,F,22547,Suburban,Divorced,112,3,Corporate L3,Offer1,Agent,537.6,SUV,Medsize
66,DP45816,Arizona,11638.66926,No,Extended,High School or Below,Employed,F,61486,Urban,Married,97,2,Personal L3,Offer4,Branch,465.25864400000006,Two-Door Car,Small
67,GW33762,Oregon,6846.150323000002,Yes,Extended,Bachelor,Unemployed,F,0,Suburban,Divorced,95,5,Personal L3,Offer1,Call Center,456.0,Two-Door Car,Large
68,RZ33670,California,11727.77648,No,Premium,College,Disabled,F,29879,Suburban,Married,102,2,Personal L3,Offer3,Web,500.254235,Four-Door Car,Medsize
69,PY70169,Oregon,22643.83478,No,Basic,High School or Below,Employed,M,93011,Rural,Divorced,113,2,Personal L3,Offer4,Agent,281.451042,SUV,Medsize
70,HW87852,Oregon,2451.752695,No,Basic,Master,Medical Leave,M,26840,Suburban,Married,64,1,Personal L1,Offer1,Agent,307.2,Four-Door Car,Medsize
71,HB20453,Oregon,6781.270203,No,Basic,Bachelor,Unemployed,M,0,Suburban,Single,104,5,Personal L3,Offer1,Agent,982.399613,Sports Car,Medsize
72,BN87372,Oregon,4974.801539,Yes,Basic,Bachelor,Employed,M,75644,Suburban,Divorced,65,9,Personal L3,Offer2,Branch,467.803638,Two-Door Car,Medsize
73,YX23800,Oregon,8591.604933,No,Basic,Bachelor,Employed,M,38984,Suburban,Married,73,2,Personal L3,Offer2,Branch,350.4,Four-Door Car,Small
74,DZ87709,Oregon,5592.161392,No,Basic,High School or Below,Employed,F,71811,Rural,Single,71,6,Personal L1,Offer2,Call Center,29.03416,Four-Door Car,Medsize
75,XW13033,Nevada,8009.472833,No,Basic,College,Employed,M,20961,Suburban,Married,67,2,Personal L1,Offer2,Agent,321.6,Four-Door Car,Medsize
76,LN31673,Washington,11318.08982,No,Extended,College,Employed,M,38923,Rural,Married,99,2,Personal L3,Offer1,Agent,115.728852,Four-Door Car,Medsize
77,OM82309,California,58166.55351000001,No,Basic,Bachelor,Employed,M,61321,Rural,Single,186,2,Personal L3,Offer2,Branch,427.63121,Luxury Car,Small
78,ZU35962,California,8025.229358,No,Extended,College,Unemployed,F,0,Rural,Single,77,2,Personal L3,Offer3,Branch,25.807685,Two-Door Car,Large
79,VH85817,California,5780.182197,Yes,Basic,High School or Below,Employed,M,51066,Suburban,Single,74,8,Personal L3,Offer2,Call Center,787.993313,Four-Door Car,Medsize
80,DT85712,California,4118.539113,No,Basic,Doctor,Employed,M,34378,Suburban,Married,102,1,Personal L1,Offer3,Branch,489.6,SUV,Medsize
81,YJ88573,Nevada,2523.07015,No,Basic,Master,Employed,M,43072,Suburban,Married,63,1,Personal L3,Offer2,Call Center,302.4,Four-Door Car,Large
82,SQ19467,Oregon,6554.216396,No,Extended,College,Disabled,F,25222,Suburban,Single,90,3,Personal L3,Offer2,Agent,475.623251,Four-Door Car,Small
83,HF88410,Washington,7703.3972939999985,No,Basic,High School or Below,Employed,M,36765,Suburban,Married,66,2,Personal L2,Offer1,Call Center,320.8490720000001,Four-Door Car,Medsize
84,ET79815,California,5926.729379,Yes,Extended,College,Retired,M,23091,Suburban,Married,96,5,Personal L1,Offer1,Agent,460.8,Four-Door Car,Medsize
85,QC35222,California,2683.470677,No,Basic,Bachelor,Employed,F,48269,Urban,Married,69,1,Corporate L2,Offer3,Web,282.151207,Four-Door Car,Medsize
86,CJ15590,Oregon,2695.182419,No,Basic,Bachelor,Employed,F,32720,Suburban,Divorced,67,1,Personal L2,Offer3,Branch,321.6,Four-Door Car,Medsize
87,OI48267,California,6047.02516,Yes,Extended,College,Employed,M,20396,Suburban,Married,76,4,Personal L3,Offer1,Branch,364.8,Four-Door Car,Medsize
88,JY67916,Oregon,13171.01282,No,Premium,College,Medical Leave,M,21513,Suburban,Married,119,2,Personal L3,Offer2,Branch,679.827592,Two-Door Car,Small
89,OE75231,Washington,10656.88195,Yes,Extended,Bachelor,Employed,F,72540,Suburban,Married,88,2,Corporate L3,Offer2,Call Center,631.743039,Two-Door Car,Medsize
90,CZ33664,Oregon,2527.653796,No,Basic,Bachelor,Employed,F,80744,Rural,Married,63,1,Corporate L3,Offer1,Agent,11.879037,Four-Door Car,Medsize
91,WK30175,Oregon,2672.095756,No,Basic,Bachelor,Employed,M,52822,Suburban,Married,67,1,Corporate L1,Offer1,Branch,350.529033,Two-Door Car,Small
92,ON44465,California,5313.294035,No,Extended,High School or Below,Unemployed,F,0,Suburban,Single,77,9,Personal L2,Offer1,Agent,863.3947,Four-Door Car,Medsize
93,TV87155,Oregon,20946.19251,No,Basic,Bachelor,Employed,F,69738,Suburban,Married,74,2,Personal L3,Offer1,Branch,492.127532,Four-Door Car,Large
94,KH48895,Arizona,8375.353929,No,Basic,Master,Medical Leave,F,17780,Rural,Married,109,9,Personal L3,Offer1,Branch,132.58828799999998,SUV,Medsize
95,NZ30757,California,4801.661503,No,Basic,Bachelor,Medical Leave,M,18107,Suburban,Married,62,8,Personal L2,Offer1,Agent,297.6,Four-Door Car,Medsize
96,RI22468,Arizona,5745.94334,No,Basic,Bachelor,Employed,F,57740,Urban,Married,74,9,Personal L1,Offer3,Web,269.905129,Four-Door Car,Medsize
97,FZ30935,Oregon,6066.115969,No,Extended,College,Employed,M,32627,Suburban,Married,76,7,Personal L2,Offer1,Agent,380.036697,Two-Door Car,Small
98,UG93476,California,8002.308333,Yes,Basic,College,Unemployed,F,0,Suburban,Married,107,3,Personal L3,Offer1,Agent,513.6,SUV,Medsize
99,AB96670,California,2393.9153690000007,Yes,Basic,College,Unemployed,M,0,Suburban,Single,70,1,Personal L1,Offer1,Branch,425.266308,Four-Door Car,Medsize
100,XK64261,Oregon,4762.8179,No,Basic,Bachelor,Employed,M,65795,Rural,Single,62,3,Corporate L3,Offer3,Call Center,49.011099,Two-Door Car,Medsize
101,EV68375,California,4330.38602,Yes,Premium,College,Employed,M,60475,Suburban,Married,107,1,Personal L3,Offer2,Branch,513.6,Four-Door Car,Medsize
102,UN51653,California,9402.729769,No,Extended,High School or Below,Unemployed,F,0,Suburban,Single,130,4,Personal L3,Offer1,Web,936.0,SUV,Medsize
103,TO96662,Oregon,6966.694527,No,Extended,Bachelor,Employed,F,41837,Rural,Married,88,9,Personal L3,Offer1,Call Center,142.062768,Four-Door Car,Small
104,MR52087,California,7694.064293,No,Basic,Bachelor,Employed,F,32303,Rural,Married,65,2,Personal L1,Offer3,Branch,45.152521,Four-Door Car,Medsize
105,DE75225,Oregon,8717.561149,No,Basic,High School or Below,Unemployed,M,0,Suburban,Married,117,3,Personal L1,Offer1,Agent,561.6,SUV,Medsize
106,EP80820,California,5928.748528,No,Basic,Bachelor,Employed,F,40531,Rural,Married,74,9,Personal L3,Offer1,Agent,30.567357,Two-Door Car,Medsize
107,GU99037,Oregon,2452.977288,No,Basic,College,Employed,M,79898,Urban,Married,62,1,Corporate L1,Offer4,Agent,271.606799,Four-Door Car,Medsize
108,WI57118,California,6701.571657,No,Extended,College,Employed,M,56398,Suburban,Married,85,7,Personal L3,Offer4,Agent,408.0,Four-Door Car,Small
109,YQ74870,Washington,7556.24034,No,Extended,High School or Below,Employed,M,35257,Suburban,Divorced,98,8,Corporate L2,Offer2,Web,470.4,Four-Door Car,Small
110,MQ14219,Arizona,8492.6988,No,Basic,College,Employed,M,27804,Suburban,Married,109,7,Personal L3,Offer2,Branch,784.8,SUV,Medsize
111,KN20603,Oregon,7713.494046,No,Basic,Bachelor,Employed,M,45506,Suburban,Single,66,2,Personal L3,Offer1,Agent,316.8,Four-Door Car,Medsize
112,CR48975,Washington,24084.5352,No,Basic,High School or Below,Employed,M,65196,Suburban,Married,67,2,Personal L2,Offer4,Branch,396.082036,Four-Door Car,Medsize
113,JI70886,California,7290.069769,No,Basic,High School or Below,Unemployed,M,0,Suburban,Married,102,3,Corporate L2,Offer1,Agent,489.6,SUV,Medsize
114,VF72557,Oregon,4772.943848,Yes,Extended,High School or Below,Retired,M,20993,Suburban,Divorced,133,1,Personal L3,Offer2,Agent,638.4,SUV,Medsize
115,OX28638,Arizona,6806.491395,No,Extended,High School or Below,Employed,M,37839,Suburban,Married,86,9,Personal L3,Offer2,Branch,465.633954,Two-Door Car,Medsize
116,SK55033,California,2469.781334,No,Basic,Bachelor,Employed,F,92711,Suburban,Single,62,1,Personal L2,Offer3,Agent,368.400146,Two-Door Car,Medsize
117,OO88645,California,3103.923041,No,Extended,College,Employed,F,74665,Urban,Married,78,1,Corporate L2,Offer2,Call Center,236.902001,Four-Door Car,Medsize
118,YT36855,Washington,2981.875575,No,Extended,College,Unemployed,M,0,Suburban,Married,83,1,Personal L2,Offer3,Web,582.679087,Two-Door Car,Medsize
119,CW82151,California,8902.737595,No,Basic,Bachelor,Employed,M,46833,Rural,Married,112,9,Personal L3,Offer1,Call Center,64.109663,Sports Car,Medsize
120,DY22043,Oregon,5499.447223,No,Basic,High School or Below,Employed,F,88768,Suburban,Married,68,7,Personal L3,Offer3,Branch,326.4,Two-Door Car,Small
121,SH36774,California,15023.598580000002,No,Basic,High School or Below,Employed,M,28262,Suburban,Single,192,3,Personal L3,Offer3,Web,921.6,Luxury SUV,Medsize
122,EM43724,Nevada,2509.107875,No,Basic,Bachelor,Employed,F,33555,Rural,Married,63,1,Personal L3,Offer1,Agent,101.89645,Four-Door Car,Medsize
123,FH85960,Oregon,31221.7481,No,Premium,College,Employed,M,42780,Suburban,Divorced,113,2,Personal L2,Offer1,Call Center,542.4,Four-Door Car,Medsize
124,XA55993,Oregon,3133.503432,No,Extended,Master,Employed,F,58850,Rural,Single,78,1,Personal L3,Offer2,Branch,143.747794,Four-Door Car,Medsize
125,GO36627,Arizona,3837.451863,No,Extended,College,Employed,M,21880,Urban,Married,97,1,Special L2,Offer1,Branch,424.077159,Four-Door Car,Medsize
126,QH48047,Oregon,11790.49617,Yes,Basic,College,Retired,M,25251,Suburban,Divorced,66,2,Personal L2,Offer2,Web,316.8,Four-Door Car,Medsize
127,UH65059,Arizona,4305.808345,No,Basic,High School or Below,Employed,M,24188,Suburban,Married,109,1,Personal L3,Offer1,Agent,523.2,Sports Car,Medsize
128,FV21968,Nevada,5973.976904,No,Basic,Bachelor,Employed,F,41611,Rural,Married,74,8,Special L2,Offer1,Branch,113.801497,Four-Door Car,Medsize
129,QA87025,Oregon,5670.442396,No,Basic,Bachelor,Employed,F,28406,Urban,Married,72,4,Personal L3,Offer1,Call Center,192.87572,Four-Door Car,Medsize
130,TQ13499,Arizona,4731.749346000001,No,Premium,College,Employed,M,69833,Suburban,Married,118,1,Personal L3,Offer1,Agent,828.662719,Four-Door Car,Small
131,BU44523,Arizona,8026.379640999998,No,Basic,High School or Below,Unemployed,F,0,Suburban,Single,74,2,Corporate L2,Offer1,Web,532.8,Four-Door Car,Small
132,MS41162,Arizona,4022.963529,No,Basic,High School or Below,Unemployed,M,0,Suburban,Single,117,1,Personal L3,Offer1,Agent,975.107098,SUV,Medsize
133,PU25891,Oregon,9618.310865,No,Basic,High School or Below,Employed,F,80536,Rural,Married,119,3,Special L2,Offer1,Branch,53.798708,Sports Car,Medsize
134,RB81636,Washington,2274.775451,No,Basic,College,Unemployed,F,0,Suburban,Single,63,1,Personal L2,Offer2,Agent,606.6424519999998,Four-Door Car,Small
135,SX26335,Oregon,9552.926922,No,Extended,College,Employed,F,97732,Urban,Married,79,2,Personal L3,Offer4,Branch,289.9122,Four-Door Car,Medsize
136,AZ95587,Arizona,10388.55323,No,Extended,Bachelor,Employed,F,61222,Urban,Single,89,2,Special L3,Offer3,Branch,392.604371,Four-Door Car,Small
137,DS81757,Oregon,2470.121222,No,Basic,College,Unemployed,M,0,Suburban,Single,74,1,Personal L1,Offer4,Web,721.242206,Two-Door Car,Large
138,OJ94107,Arizona,5619.0685079999985,No,Premium,Master,Employed,M,50335,Urban,Married,140,1,Personal L2,Offer1,Call Center,456.52385,SUV,Medsize
139,LP84436,California,9047.119209,No,Extended,High School or Below,Unemployed,F,0,Suburban,Single,127,6,Personal L2,Offer3,Branch,1087.995426,Sports Car,Medsize
140,YV64727,Washington,6692.143668,No,Premium,High School or Below,Employed,M,63221,Suburban,Married,168,1,Corporate L3,Offer3,Agent,806.4,SUV,Medsize
141,LM19287,Oregon,3731.504584,Yes,Extended,High School or Below,Unemployed,F,0,Suburban,Married,96,1,Personal L1,Offer1,Agent,460.8,Four-Door Car,Large
142,ZU18643,Nevada,3660.770258,No,Extended,Bachelor,Employed,M,64495,Urban,Married,92,1,Corporate L2,Offer4,Web,251.992083,Four-Door Car,Medsize
143,AZ82578,California,7928.829251999998,No,Basic,College,Unemployed,F,0,Suburban,Married,72,2,Corporate L3,Offer1,Call Center,345.6,Four-Door Car,Medsize
144,XC67861,Arizona,5011.751577,No,Basic,Bachelor,Employed,F,28859,Suburban,Divorced,67,4,Corporate L2,Offer1,Call Center,321.6,Two-Door Car,Medsize
145,YC43143,Arizona,7988.258292,No,Extended,High School or Below,Employed,F,77330,Rural,Married,99,3,Personal L3,Offer2,Web,99.257608,Four-Door Car,Medsize
146,EK59571,Oregon,3885.456401,Yes,Premium,College,Unemployed,M,0,Suburban,Married,105,1,Corporate L2,Offer1,Branch,504.0,Four-Door Car,Large
147,GD83998,Washington,2659.337982,No,Basic,Bachelor,Employed,M,24495,Suburban,Single,70,1,Personal L2,Offer4,Branch,336.0,Four-Door Car,Small
148,WA25797,Washington,8564.768226,Yes,Basic,High School or Below,Employed,M,95697,Rural,Married,107,9,Personal L3,Offer2,Agent,178.006524,Sports Car,Medsize
149,PD27940,Arizona,4885.162511,No,Extended,High School or Below,Disabled,M,26372,Suburban,Married,126,1,Personal L3,Offer4,Agent,604.8,SUV,Medsize
150,YM50253,California,2946.153697,No,Basic,Bachelor,Employed,F,89270,Urban,Single,74,1,Personal L3,Offer2,Branch,316.599228,Four-Door Car,Medsize
151,NR15332,California,2581.110945,No,Basic,High School or Below,Employed,M,29757,Suburban,Married,65,1,Personal L2,Offer2,Web,312.0,Four-Door Car,Small
152,RC62865,Oregon,3517.385764,No,Extended,College,Employed,M,51814,Rural,Single,92,1,Personal L2,Offer3,Agent,56.300724,Four-Door Car,Medsize
153,CC15295,Oregon,9743.350113,No,Extended,Bachelor,Employed,F,24028,Suburban,Married,82,2,Personal L2,Offer2,Agent,393.6,Four-Door Car,Small
154,KA61892,Arizona,3873.647046,Yes,Basic,College,Retired,M,28142,Suburban,Married,105,1,Personal L3,Offer2,Agent,701.7082389999998,Sports Car,Medsize
155,OS94884,Arizona,7649.28199,No,Basic,Bachelor,Employed,F,52705,Rural,Married,64,2,Personal L2,Offer1,Web,128.70556299999998,Two-Door Car,Large
156,ND87334,California,2287.59692,No,Basic,High School or Below,Unemployed,M,0,Suburban,Married,63,1,Corporate L3,Offer2,Agent,679.368378,Two-Door Car,Medsize
157,ML93326,Washington,4475.424592,No,Basic,College,Employed,F,84903,Urban,Married,111,1,Personal L1,Offer1,Agent,497.12682699999993,SUV,Medsize
158,YL74911,California,8714.922134999999,Yes,Basic,College,Unemployed,F,0,Suburban,Divorced,118,4,Personal L3,Offer1,Agent,566.4,SUV,Medsize
159,JP69864,Washington,2248.449633,Yes,Basic,Bachelor,Retired,F,24910,Suburban,Single,63,1,Personal L1,Offer1,Branch,347.857619,Four-Door Car,Medsize
160,HL53154,California,7416.197322,No,Extended,Bachelor,Unemployed,M,0,Suburban,Single,77,2,Personal L3,Offer1,Agent,554.4,Four-Door Car,Medsize
161,RI78966,Oregon,7771.158973,No,Basic,Master,Medical Leave,M,21876,Suburban,Married,68,2,Personal L3,Offer1,Agent,465.41477,Four-Door Car,Small
162,IC13702,California,6968.3419,No,Basic,Bachelor,Unemployed,F,0,Suburban,Single,69,2,Personal L3,Offer1,Agent,496.8,Four-Door Car,Small
163,BE10809,California,4250.282624,Yes,Basic,High School or Below,Unemployed,F,0,Suburban,Single,61,7,Personal L1,Offer1,Agent,292.8,Four-Door Car,Small
164,HT87217,Oregon,19776.56654,No,Extended,High School or Below,Employed,F,70699,Urban,Divorced,82,2,Personal L2,Offer3,Agent,256.81383700000004,Four-Door Car,Medsize
165,TH95618,California,21343.46599,No,Basic,High School or Below,Unemployed,F,0,Suburban,Married,74,2,Personal L2,Offer1,Agent,355.2,Four-Door Car,Medsize
166,TS19868,California,2413.139714,No,Basic,College,Medical Leave,M,27501,Suburban,Married,63,1,Personal L1,Offer4,Branch,542.319401,Four-Door Car,Medsize
167,LP45550,Oregon,15363.84716,No,Premium,Doctor,Disabled,F,15897,Urban,Divorced,101,2,Personal L3,Offer2,Agent,303.1483990000001,Four-Door Car,Medsize
